,Name,Global_Sales,NA_Sales,JP_Sales,Other_Sales,Critic_Score,Critic_Count,User_Score,User_Count,index,Year_of_Release,Genre,Publisher,Developer,Rating
4215,Wii Sports,82.53,41.36,3.77,8.45,76.0,51.0,8.0,322.0,0,2006.0,Sports,Nintendo,Nintendo,E
1491,Grand Theft Auto V,56.57000000000001,23.84,1.42,7.8999999999999995,96.8,245.0,8.08,15124.0,16,2013.0,Action,Take-Two Interactive,Rockstar North,M
2087,Mario Kart Wii,35.52,15.68,3.79,3.29,82.0,73.0,8.3,709.0,2,2008.0,Racing,Nintendo,Nintendo,E
4217,Wii Sports Resort,32.77,15.61,3.28,2.95,80.0,73.0,8.0,192.0,3,2009.0,Sports,Nintendo,Nintendo,E
484,Call of Duty: Modern Warfare 3,30.59,15.54,0.62,3.29,81.0,162.0,2.725,20053.0,29,2011.0,Shooter,Activision,"Infinity Ward, Sledgehammer Games",M
2567,New Super Mario Bros.,29.8,11.28,6.5,2.88,89.0,65.0,8.5,431.0,6,2006.0,Platform,Nintendo,Nintendo,E
479,Call of Duty: Black Ops II,29.400000000000002,14.08,0.72,3.76,80.25,136.0,5.300000000000001,5041.0,34,2012.0,Shooter,Activision,Treyarch,M
478,Call of Duty: Black Ops,29.19,16.99,0.59,3.08,82.25,185.0,6.125,2689.0,32,2010.0,Shooter,Activision,Treyarch,M
4213,Wii Play,28.92,13.96,2.93,2.84,58.0,41.0,6.6,129.0,7,2006.0,Misc,Nintendo,Nintendo,E
2570,New Super Mario Bros. Wii,28.32,14.44,4.7,2.24,87.0,80.0,8.4,594.0,8,2009.0,Platform,Nintendo,Nintendo,E
481,Call of Duty: Ghosts,26.7,14.709999999999999,0.48,3.03,73.8,101.0,3.3199999999999994,5684.0,60,2013.0,Shooter,Activision,Infinity Ward,M
483,Call of Duty: Modern Warfare 2,24.95,13.52,0.46,2.9699999999999998,91.33333333333333,207.0,5.6000000000000005,11201.0,36,2009.0,Shooter,Activision,Infinity Ward,M
1494,Grand Theft Auto: San Andreas,23.729999999999997,10.69,0.41,10.7,93.66666666666667,185.0,8.833333333333334,3547.0,17,2004.0,Action,Take-Two Interactive,Rockstar North,M
2086,Mario Kart DS,23.21,9.71,4.13,1.9,91.0,64.0,8.6,464.0,11,2005.0,Racing,Nintendo,Nintendo,E
4207,Wii Fit,22.7,8.92,3.6,2.15,80.0,63.0,7.7,146.0,13,2007.0,Sports,Nintendo,Nintendo,E
1490,Grand Theft Auto IV,22.389999999999997,11.53,0.5800000000000001,2.71,95.33333333333333,190.0,7.333333333333333,8083.0,51,2008.0,Action,Take-Two Interactive,Rockstar North,M
1812,Kinect Adventures!,21.81,15.0,0.24,1.69,61.0,45.0,6.3,106.0,14,2010.0,Misc,Microsoft Game Studios,Good Science Studio,E
4208,Wii Fit Plus,21.79,9.01,2.53,1.77,80.0,33.0,7.4,52.0,15,2009.0,Sports,Nintendo,Nintendo,E
399,Brain Age: Train Your Brain in Minutes a Day,20.15,4.74,4.16,2.04,77.0,58.0,7.9,50.0,19,2005.0,Misc,Nintendo,Nintendo,E
3700,The Elder Scrolls V: Skyrim,19.08,8.76,0.35,2.45,94.0,137.0,7.633333333333333,15189.0,75,2011.0,Role-Playing,Bethesda Softworks,Bethesda Game Studios,M
475,Call of Duty 4: Modern Warfare,18.19,9.989999999999998,0.42000000000000004,2.04,88.75,176.0,8.05,4709.0,70,2007.0,Shooter,Activision,Infinity Ward,M
282,Battlefield 3,17.27,8.200000000000001,0.41,2.23,86.0,156.0,7.466666666666666,8829.0,101,2011.0,Shooter,Electronic Arts,EA DICE,M
1539,Guitar Hero III: Legends of Rock,16.37,11.14,0.04,2.63,83.0,189.0,7.9,413.0,208,2007.0,Misc,Activision,"Neversoft Entertainment, BudCat",T
1495,Grand Theft Auto: Vice City,16.189999999999998,8.41,0.47,1.79,94.5,92.0,8.75,2250.0,24,2002.0,Action,Take-Two Interactive,Rockstar North,M
486,Call of Duty: World at War,15.78,9.29,0.0,1.81,82.0,196.0,7.619999999999999,1808.0,100,2008.0,Shooter,Activision,Treyarch,M
397,Brain Age 2: More Training in Minutes a Day,15.29,3.43,5.32,1.18,77.0,37.0,7.1,19.0,26,2005.0,Puzzle,Nintendo,Nintendo,E
1170,FIFA 14,15.26,2.73,0.19,2.3299999999999996,86.4,132.0,5.040000000000001,2396.0,126,2013.0,Sports,Electronic Arts,EA Canada,E
1891,LEGO Star Wars: The Complete Saga,15.259999999999998,8.950000000000001,0.0,1.56,80.0,68.0,7.1000000000000005,309.0,155,2007.0,Action,LucasArts,Traveller's Tales,E10+
1478,Gran Turismo 3: A-Spec,14.98,6.85,1.87,1.16,95.0,54.0,8.4,314.0,28,2001.0,Racing,Sony Computer Entertainment,Polyphony Digital,E
1183,FIFA Soccer 13,14.92,2.4000000000000004,0.21000000000000002,2.7899999999999996,76.33333333333333,133.0,5.550000000000001,1191.0,81,2012.0,Action,Electronic Arts,Electronic Arts,E
283,Battlefield 4,13.93,6.44,0.4600000000000001,1.61,81.2,110.0,6.18,6698.0,357,2013.0,Shooter,Electronic Arts,EA DICE,M
3821,The Sims 3,13.659999999999998,3.6699999999999995,0.05,1.2300000000000002,73.0,194.0,6.160000000000001,1063.0,85,2009.0,Simulation,Electronic Arts,The Sims Studio,T
477,Call of Duty: Advanced Warfare,13.34,6.180000000000001,0.15000000000000002,1.74,80.66666666666667,110.0,5.2,3477.0,92,2014.0,Shooter,Activision,Sledgehammer Games,M
1489,Grand Theft Auto III,13.11,6.99,0.3,1.3,95.0,76.0,8.45,1469.0,38,2001.0,Action,Take-Two Interactive,DMA Design,M
193,Assassin's Creed III,13.02,6.24,0.19,1.7100000000000002,83.5,149.0,6.725,4208.0,127,2012.0,Action,Ubisoft,Ubisoft,M
3557,Super Smash Bros. Brawl,12.84,6.62,2.66,1.01,93.0,81.0,8.9,1662.0,39,2008.0,Fighting,Nintendo,Game Arts,T
2925,Red Dead Redemption,12.81,6.49,0.26,1.5699999999999998,95.0,169.0,8.9,4772.0,125,2010.0,Action,Take-Two Interactive,Rockstar San Diego,M
1776,Just Dance 3,12.759999999999998,7.75,0.0,1.31,73.0,54.0,7.166666666666667,40.0,61,2011.0,Misc,Ubisoft,Ubisoft,E10+
1205,Fallout 4,12.669999999999998,5.549999999999999,0.25,1.6099999999999999,86.33333333333333,135.0,6.033333333333334,13489.0,105,2015.0,Role-Playing,Bethesda Softworks,Bethesda Game Studios,M
2084,Mario Kart 7,12.66,5.03,2.69,0.91,85.0,73.0,8.2,632.0,40,2011.0,Racing,Nintendo,"Retro Studios, Entertainment Analysis & Development Division",E
125,Animal Crossing: Wild World,12.13,2.5,5.33,0.86,86.0,57.0,8.7,242.0,43,2005.0,Simulation,Nintendo,Nintendo,E
1567,Halo 3,12.12,7.97,0.13,1.21,94.0,86.0,7.8,4100.0,44,2007.0,Shooter,Microsoft Game Studios,"Bungie Software, Bungie",M
1172,FIFA 16,12.02,2.0700000000000003,0.06,1.53,82.33333333333333,97.0,4.366666666666666,1651.0,77,2015.0,Sports,Electronic Arts,EA Sports,E
1479,Gran Turismo 4,11.66,3.01,1.1,7.53,89.0,74.0,8.5,272.0,48,2004.0,Racing,Sony Computer Entertainment,Polyphony Digital,E
191,Assassin's Creed II,11.36,5.66,0.29,1.4600000000000002,89.0,174.0,8.1,4118.0,159,2009.0,Action,Ubisoft,Ubisoft Montreal,M
3540,Super Mario Galaxy,11.35,6.06,1.2,0.74,97.0,73.0,8.9,2147.0,49,2007.0,Platform,Nintendo,Nintendo,E
1493,Grand Theft Auto: Liberty City Stories,11.23,4.46,0.31,2.23,83.0,114.0,7.699999999999999,563.0,91,2005.0,Action,Take-Two Interactive,Rockstar Leeds,M
1182,FIFA Soccer 11,11.04,1.7099999999999997,0.09,2.04,80.2,156.0,7.18,507.0,202,2010.0,Sports,Electronic Arts,EA Sports,E
1476,Gran Turismo,10.95,4.02,2.54,0.52,96.0,16.0,8.7,138.0,52,1997.0,Racing,Sony Computer Entertainment,Polyphony Digital,E
